Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Existing_Loan,Property_Owner,Dependents,Loan_Status
48,1597068,605,565499,36,0,0,0,2,1
27,947899,795,1119297,12,1,1,0,0,1
28,6296540,228,7743883,240,0,1,1,0,1
55,1706999,547,127400,36,0,1,1,2,1
34,1248716,700,441643,240,0,0,1,1,1
37,392154,678,455604,12,0,1,1,4,0
56,1292201,845,900710,24,1,1,0,2,1
24,1471113,689,126408,120,1,0,0,3,1
22,514075,420,1190707,120,1,0,1,0,1
26,649269,834,206236,12,1,0,1,4,1
24,7204561,208,2667429,360,1,0,1,2,1
49,1286110,768,191369,60,1,1,1,2,1
38,1065604,409,433734,12,0,1,1,4,0
46,1684819,707,708936,12,0,0,1,4,1
54,784006,444,1073436,180,1,1,0,4,0
30,709801,835,104879,360,0,0,0,3,1
56,1135672,648,750460,24,1,0,1,0,1
34,1101204,429,523378,240,0,1,0,2,0
51,1555372,847,182353,240,1,1,1,2,1
35,673134,624,697982,36,1,1,1,4,1
28,412315,785,688722,360,1,1,1,4,1
34,1307803,576,133189,240,0,1,1,4,1
43,660197,495,906303,360,0,1,0,0,0
41,968234,828,585964,60,1,1,1,1,1
36,390341,416,1189839,180,1,0,1,3,1
38,1409472,427,502297,240,1,0,0,3,1
44,1788001,525,1061987,180,0,0,1,2,1
46,332822,700,445470,240,0,0,0,1,0
45,976110,672,1132919,12,1,1,0,0,1
49,1188767,586,206480,24,1,0,0,3,1
35,1259587,541,92329,360,0,1,0,4,0
21,1466404,771,1110670,180,0,1,0,4,1
45,684910,537,386439,240,0,0,1,2,1
27,1345449,736,588433,360,0,0,0,3,1
29,432624,628,471983,60,1,1,1,3,1
44,635475,613,53187,360,1,1,0,3,0
21,436343,673,561187,240,0,1,1,2,0
28,1152083,690,1098457,120,1,1,0,2,1
44,1188349,831,359842,120,0,1,1,2,1
31,460066,457,1085735,24,1,0,1,0,1
37,1637906,770,809816,60,1,1,0,2,1
28,1378843,417,473836,36,0,1,0,3,0
55,1242439,579,638444,24,1,0,0,3,1
55,1118180,557,1180468,240,1,0,0,0,1
53,697053,655,805547,180,1,0,0,4,1
25,1542342,436,204812,180,0,1,0,3,0
59,702826,695,1153490,240,1,1,1,4,1
48,1377191,661,885061,36,1,0,1,2,1
27,507716,478,231882,12,1,0,0,4,0
29,1190567,818,407261,36,0,1,0,3,1
28,1764139,553,1137387,24,1,1,0,0,1
32,858350,760,904950,60,0,0,1,1,1
54,479503,746,75451,36,0,1,1,4,1
53,1421662,557,1188367,240,0,0,0,4,1
43,1638925,474,1102091,360,1,1,0,1,1
44,1104891,771,221667,12,1,1,1,4,1
57,7794493,227,3893736,60,1,0,1,4,1
55,1241254,777,887599,360,0,0,1,4,1
42,1589821,454,620765,240,1,1,1,2,1
47,4679825,240,6543948,120,0,1,0,2,1
55,1347941,614,905590,120,1,0,0,4,1
21,1125017,408,685113,60,1,0,0,1,1
55,1432274,505,467015,180,1,0,1,4,1
57,345635,717,604937,180,1,0,0,4,1
34,475926,766,790750,24,1,0,0,1,1
23,1031586,801,701592,36,1,0,0,3,1
21,853392,644,429227,36,0,1,1,2,1
25,1299797,706,389881,180,1,0,1,1,1
46,576914,502,255190,60,1,1,0,0,0
34,5499267,289,2846891,36,0,0,0,4,1
59,1215182,724,1104708,120,1,1,1,4,1
47,1067993,772,478621,60,1,1,1,0,1
29,1208677,737,416706,180,0,0,0,3,1
35,1403754,778,489423,240,1,1,1,1,1
35,1181587,432,987992,36,1,1,1,3,1
46,845116,507,327335,12,1,0,1,0,1
33,1103603,821,1101323,180,0,1,0,4,1
52,804879,668,723418,180,1,0,1,4,1
59,823277,832,1173235,240,1,0,0,0,1
52,821827,472,680657,24,1,0,1,0,1
24,559595,745,653128,12,1,1,0,0,1
50,314202,580,244626,360,1,1,0,3,0
57,757044,784,258468,180,1,1,0,4,1
43,1435943,667,651149,12,1,0,1,2,1
59,6479380,271,2190965,36,1,0,1,1,1
35,1620569,784,1155911,60,1,0,0,4,1
49,752488,467,303561,120,1,0,0,2,1
56,8413020,240,5758188,60,0,0,1,0,1
33,641016,771,214986,360,1,1,1,1,1
52,484348,747,595356,36,1,1,0,4,1
27,698267,596,226629,36,1,0,0,1,1
42,1266978,694,313036,120,1,0,0,3,1
48,1424180,431,372103,12,0,0,0,1,1
22,560408,832,171516,12,0,1,0,4,0
26,1234471,814,676215,360,0,1,0,0,1
48,1239277,507,778934,240,0,0,1,0,1
48,1182982,478,502766,60,1,1,1,1,1
40,1550065,658,1050912,24,1,0,0,4,1
50,1389758,765,1097071,36,0,1,1,0,1
31,678954,574,290594,120,1,1,1,1,1
48,494661,766,857771,60,1,1,1,4,1
45,1290739,414,1154668,240,0,1,0,0,0
59,1372756,450,537186,120,1,0,1,3,1
53,1399948,506,973839,12,1,1,1,2,1
21,1452003,609,782635,180,0,1,1,1,1
47,1632883,601,694449,240,1,1,0,4,1
33,1064298,676,1182062,12,0,1,0,4,0
23,1018449,617,1010868,60,1,0,1,0,1
59,681760,440,1005164,240,1,0,1,3,1
26,526283,775,777993,24,0,0,1,1,1
28,5921991,268,4953146,12,1,1,0,2,1
47,1381510,784,533803,120,1,1,0,0,1
29,879883,804,487553,36,1,0,0,1,1
57,537685,602,132836,240,1,0,0,1,1
53,1194737,735,846833,36,0,0,1,1,1
44,6488751,290,6069849,24,0,0,1,4,1
35,1055870,548,433022,60,1,0,0,3,1
52,334018,504,125087,24,1,1,1,4,0
52,1663878,602,362603,120,1,1,1,0,1
44,557061,494,330749,240,1,1,0,2,0
32,1746350,576,237698,360,0,1,0,1,1
59,1642894,464,874174,24,0,1,0,0,0
22,1182373,440,779790,240,1,1,1,3,1
23,1522279,623,984005,36,0,1,0,4,1
57,1285191,466,420600,180,1,1,0,3,0
37,970912,779,415066,360,1,1,0,3,1
22,1252569,654,1093213,240,1,0,1,0,1
22,931820,697,1048540,12,0,1,0,0,0
48,1121079,468,78784,12,1,0,0,0,1
43,357940,840,1083479,240,1,1,0,3,1
57,1480268,570,1007930,180,1,1,0,1,1
52,977251,500,700762,60,1,0,0,0,1
53,1455142,539,156594,240,1,0,1,4,1
21,1148827,605,935782,120,1,1,0,0,1
39,1399531,719,1127486,60,0,0,0,4,1
22,594458,763,163260,360,1,0,1,0,1
46,716716,706,284758,240,1,1,0,0,1
52,1402261,472,271789,180,0,1,1,2,1
26,948235,459,183241,24,0,1,0,1,0
52,400229,735,1000834,24,0,0,1,3,1
24,1136621,555,384140,360,1,0,0,4,1
31,655698,523,1071746,24,1,0,1,1,1
37,1368143,413,529136,120,0,1,1,2,0
58,1767770,815,201416,240,1,0,1,2,1
44,1686809,663,518267,12,1,0,0,0,1
25,964990,426,479141,180,0,0,0,4,0
54,1753795,644,979436,36,1,0,0,1,1
26,1652164,449,318692,36,0,1,1,4,1
42,386184,586,548356,24,1,0,0,4,1
31,1635541,456,175039,240,1,1,0,3,1
36,838889,658,941913,24,1,1,0,0,1
53,1001264,554,867049,240,0,0,0,2,0
29,1461458,433,537281,24,1,0,1,3,1
26,643990,425,132859,120,0,0,0,2,0
36,1661222,649,844861,36,1,0,1,1,1
49,423409,823,310425,60,0,1,1,3,1
23,322098,770,517128,12,0,1,0,2,0
40,476974,485,559734,60,0,0,1,4,0
56,1467078,559,1002057,12,1,0,1,4,1
39,1686236,824,283953,120,1,0,0,0,1
46,1392856,785,621992,12,1,0,0,2,1
23,1095383,766,115897,360,0,0,1,3,1
39,1356693,599,821107,120,1,1,0,1,1
40,325979,505,861523,36,1,0,0,4,0
52,767741,790,154169,240,1,0,1,3,1
27,316915,674,730265,240,1,1,0,0,0
53,621405,688,446357,12,0,1,1,0,0
59,1053020,657,104790,24,1,1,0,1,1
38,943113,619,489226,24,1,0,1,4,1
21,661046,414,179401,240,0,0,0,2,0
31,1683684,420,743533,120,1,0,0,2,1
48,1307921,733,984247,360,1,0,1,4,1
45,763656,458,84128,360,0,0,0,1,0
43,1646397,759,574911,36,1,0,1,1,1
51,805071,481,346477,120,1,1,1,0,1
50,1660550,517,835443,60,1,0,0,2,1
55,1270040,512,166199,60,1,1,0,0,1
27,833210,694,72871,60,1,1,0,2,1
36,1445272,675,1081956,24,0,1,1,3,1
46,1416137,656,529849,180,1,0,0,3,1
22,1623940,728,1133345,60,1,0,0,1,1
21,353380,664,247004,12,1,0,0,2,1
32,695982,634,104827,360,0,0,0,1,0
25,1039378,450,880100,60,1,1,0,0,0
57,4104414,261,6800340,24,1,1,1,0,1
52,573079,630,1108861,12,0,1,0,0,0
29,565928,620,635988,36,1,0,1,0,1
55,781802,670,445908,120,0,0,1,3,1
39,975581,483,311787,120,0,0,1,1,1
36,318069,629,1088064,180,0,1,0,2,0
23,1731905,696,450855,12,1,1,1,2,1
40,1384258,621,754121,180,1,1,0,1,1
44,1722267,830,1032673,12,1,0,0,1,1
53,1442879,553,553447,180,1,0,1,1,1
44,673413,453,906220,120,1,0,0,1,1
31,986592,518,1004981,120,1,1,0,0,0
28,1344013,597,143011,12,0,1,0,4,0
56,1130705,822,1165387,120,1,1,0,2,1
58,355210,672,799834,240,1,0,0,2,1
40,635335,597,1053347,240,1,1,0,2,0
55,619117,527,198072,180,1,0,1,2,1
45,1300508,491,195164,36,0,1,1,3,1
55,1374159,408,1158138,60,1,1,1,3,1
45,973061,626,694759,240,1,0,0,1,1
49,569024,445,199167,180,0,1,1,1,0
38,389257,533,772238,60,1,0,0,3,0
38,1793637,415,1005024,36,1,1,0,0,1
22,1060872,614,218772,60,1,1,1,1,1
55,1047750,511,1001295,60,1,1,0,0,0
36,412024,742,263725,60,1,1,1,3,1
56,1683137,556,124696,24,1,1,1,0,1
53,828010,824,460361,240,1,1,0,0,1
24,320077,717,468654,180,1,0,0,0,1
53,1429444,759,1038736,180,1,0,0,1,1
34,1585176,775,527483,36,0,0,1,0,1
41,1623949,823,461046,180,0,0,1,1,1
40,635482,845,904774,120,1,0,0,4,1
28,1017039,807,1146564,240,1,1,0,0,1
27,704655,789,512077,12,1,1,1,4,1
23,1351174,695,613703,36,1,1,0,0,1
37,916585,597,1184252,36,0,1,1,4,1
53,312741,457,1083528,180,1,0,0,3,0
32,1417936,797,71781,24,1,1,1,4,1
42,1647008,477,58993,24,0,0,0,4,1
42,432321,641,917121,360,1,0,0,2,1
50,454042,828,307891,240,1,1,1,4,1
58,315565,766,799551,60,0,1,1,4,0
58,1667715,498,215887,24,1,0,0,1,1
28,1039354,405,156522,120,0,0,1,0,1
47,1025840,678,1033170,120,0,0,1,2,1
47,530324,717,855883,240,1,1,1,1,1
54,414794,611,309594,60,0,0,1,2,1
41,933275,672,921703,240,1,0,1,0,1
50,7017872,260,6013577,24,1,1,0,4,1
53,1582644,511,170004,60,1,1,0,0,1
48,619642,597,968240,12,0,0,1,4,1
53,1155208,759,348759,24,1,0,1,2,1
25,4849363,254,5941262,24,0,1,1,4,1
39,1410287,427,133011,24,0,0,1,0,1
24,342530,540,885805,360,1,0,1,4,1
55,510339,812,1006027,24,1,0,0,0,1
37,813207,572,771831,120,0,0,0,0,0
48,711234,419,645557,180,1,1,1,1,0
50,952524,841,1123090,60,0,1,0,0,1
49,1388952,516,188639,360,1,0,1,1,1
26,1197145,453,805007,120,1,0,0,3,1
55,5797342,215,5769415,60,1,1,1,1,1
57,1020406,508,948436,12,1,1,1,4,1
44,1538390,630,82378,240,1,0,1,3,1
49,1687845,719,189719,24,1,0,1,1,1
51,312437,707,1124915,36,1,1,1,1,1
55,362146,628,573928,240,1,1,0,2,0
53,327618,698,391296,240,1,0,0,1,1
41,1530415,486,324068,120,1,1,1,3,1
52,309705,673,573784,180,1,0,0,4,1
43,519288,627,528742,36,1,0,1,1,1
53,1167344,739,231691,12,1,1,0,4,1
23,1662470,709,168463,360,1,0,1,0,1
38,784172,715,950322,36,0,0,1,1,1
45,352682,778,1185157,12,0,1,0,4,0
51,495785,470,590174,120,1,1,0,0,0
23,1454470,627,412162,12,1,0,1,3,1
44,8914039,291,2307715,120,1,1,1,0,1
52,360384,512,146663,180,1,1,1,0,0
42,1479088,692,223460,360,0,1,1,1,1
43,1137560,704,770567,120,0,0,1,1,1
22,1369859,690,1073818,36,1,0,0,4,1
47,1587749,504,1025691,60,0,1,0,0,0
22,1591820,690,1188627,180,0,1,0,0,1
46,4737995,254,3617680,240,0,1,1,0,1
37,1180872,564,375351,60,1,1,1,2,1
53,823743,459,499401,60,0,0,1,4,1
29,1360531,711,300084,24,0,0,1,1,1
59,700414,505,1038111,240,1,1,0,3,0
49,1655308,510,875142,36,1,1,0,0,1
46,704982,488,166199,12,1,1,0,3,0
55,1445202,667,972163,60,1,0,0,3,1
45,1156306,629,577250,36,0,1,0,1,0
44,677261,726,277342,24,0,0,1,4,1
33,1222805,470,173733,36,0,0,0,2,0
27,707000,518,951299,12,1,1,1,4,1
56,892247,787,179238,60,1,0,1,3,1
40,1481221,844,330573,12,1,0,0,4,1
21,1372995,828,662062,24,1,1,1,2,1
28,1037699,750,245628,240,1,1,1,2,1
36,791986,833,437423,12,1,1,0,2,1
34,348555,705,965024,180,0,1,0,3,0
32,436248,502,126764,24,1,0,0,4,0
43,1515809,601,398117,12,0,1,1,1,1
35,1018800,831,709824,24,0,0,1,2,1
48,1470658,422,1105742,36,1,0,1,1,1
54,970524,489,530374,36,1,0,1,1,1
22,770974,492,201382,36,0,1,0,3,0
52,849667,663,215480,180,1,1,0,2,1
43,1570837,684,592322,180,1,0,0,3,1
42,1301056,570,916335,36,1,1,1,3,1
45,580512,708,1191093,240,1,0,0,4,1
42,1774563,789,675878,360,0,0,0,3,1
42,1519893,620,326885,12,0,1,0,4,1
26,923194,423,851773,240,1,1,1,4,1
35,1180219,775,1048888,180,0,1,1,2,1
57,816596,601,66740,120,1,1,1,1,1
53,856265,523,374629,24,1,1,1,2,1
28,1610032,541,264616,24,1,1,1,4,1
25,306714,451,392968,360,1,0,1,0,1
59,406680,469,634073,240,0,1,0,1,0
24,1163669,659,415414,360,1,0,1,1,1
26,1756683,585,1010295,120,1,0,1,0,1
52,876587,771,185025,24,1,1,1,2,1
50,1201174,606,602165,24,0,0,1,0,1
55,768668,692,1130967,36,0,1,1,0,1
36,1417022,703,197548,24,0,0,0,2,1
33,1563438,777,934134,24,1,0,1,0,1
50,361516,438,259249,60,0,1,0,0,0
39,737466,747,857519,240,0,1,0,4,0
37,1432097,465,614797,240,1,0,1,3,1
39,715367,412,1199844,240,1,0,1,2,1
48,1212105,593,241378,24,1,1,0,4,1
46,1523945,715,802024,360,1,1,1,2,1
57,618339,781,59302,120,1,0,1,0,1
46,1170442,824,449570,24,1,0,0,4,1
43,1026376,687,468174,360,1,1,0,1,1
29,1554627,835,407970,120,1,0,1,1,1
32,485406,532,1190235,180,1,1,0,0,0
21,922762,594,216758,24,1,1,1,1,1
21,892633,721,71508,120,1,0,0,0,1
54,1506578,477,756970,24,1,0,0,3,1
52,1407693,649,176323,180,1,0,1,4,1
45,1109527,631,595708,24,1,0,1,2,1
21,1352567,579,790823,360,1,0,1,3,1
36,3084488,296,7471522,60,1,0,0,0,1
59,1113089,576,355563,180,0,0,0,1,1
25,1087258,428,1166194,60,1,0,1,2,1
42,473697,565,587841,24,1,1,0,4,0
49,723062,725,414175,360,1,1,1,0,1
23,339566,625,1169115,60,0,0,0,4,0
32,459435,535,478842,360,1,0,1,2,1
46,1741514,586,312870,12,1,1,0,4,1
36,1222640,454,297541,180,1,0,1,1,1
57,1013297,765,1155133,12,1,0,1,2,1
42,841709,401,528738,360,1,1,0,2,0
49,556080,809,604954,360,0,0,0,0,1
34,1605806,718,658122,180,1,0,0,3,1
48,9957706,216,3594064,36,0,1,0,1,1
25,831834,458,449442,180,1,1,1,0,1
50,633583,487,293363,36,1,1,1,2,1
25,1102838,622,739918,360,1,0,0,1,1
32,692353,671,841975,12,1,1,1,2,1
36,1620545,457,1105706,180,1,1,0,2,1
46,1289327,591,625506,240,0,1,1,0,1
46,541569,449,457350,240,0,0,0,1,0
41,1344583,612,692927,36,1,1,1,4,1
59,596317,629,212258,24,1,1,0,2,0
56,1610112,553,207885,24,1,0,1,2,1
53,1666339,672,746382,36,1,1,0,0,1
50,1693834,769,494357,12,1,1,0,4,1
57,669215,445,395868,240,0,1,0,1,0
43,596518,761,643149,120,0,0,0,4,1
30,1279217,782,414146,180,1,1,0,1,1
25,1675088,705,187045,24,1,0,1,1,1
56,803166,826,891475,180,0,1,1,4,1
54,1096988,517,567121,60,0,1,1,0,0
51,1227562,575,151661,120,1,0,0,4,1
30,928842,467,263123,60,0,0,0,0,0
39,531059,650,535980,24,1,1,1,0,1
52,7874368,281,4351670,36,0,0,1,4,1
21,1393070,629,706352,240,0,0,1,2,1
25,1242509,808,481756,60,1,1,1,3,1
24,1171103,599,690046,240,1,1,0,0,1
36,782640,545,925750,180,0,1,0,0,0
44,1381057,450,826475,360,1,1,1,1,1
36,4672416,253,6480732,240,0,0,1,2,1
22,864719,767,839381,360,1,1,1,1,1
48,626603,585,989229,12,1,1,1,4,1
52,1701193,719,866503,60,1,0,0,2,1
47,423311,598,833368,12,1,1,0,4,0
40,1597058,840,233708,120,1,0,0,4,1
44,1034042,544,1169702,120,0,0,0,2,0
32,1313141,458,352149,36,1,1,0,4,1
55,1294293,594,259237,12,1,1,0,4,1
53,741720,542,587182,240,0,0,0,3,0
53,696439,622,159637,180,1,1,1,2,1
57,764193,499,986681,36,1,1,0,3,0
32,539198,425,290147,60,0,0,1,4,0
23,340149,831,379095,240,1,1,0,2,1
21,1189920,413,943303,36,0,0,1,3,1
53,1509212,521,768009,240,1,0,0,0,1
30,1044984,664,449423,180,1,1,0,2,1
49,1587267,406,320513,240,1,0,1,4,1
33,1605704,618,1049658,360,1,1,1,4,1
32,651362,619,378441,60,0,0,1,2,1
51,856420,582,51282,120,0,0,0,2,0
22,8929902,275,5376527,36,0,0,1,0,1
55,959893,800,1186199,180,1,0,0,3,1
43,1038322,507,873646,120,1,0,1,4,1
37,642240,791,284012,60,1,0,1,3,1
46,1776201,746,756134,12,1,0,1,0,1
28,9795936,202,3177909,24,1,0,0,4,1
49,310633,569,911669,360,1,0,0,2,0
46,1797999,820,518398,360,1,0,0,4,1
30,1530183,803,609659,240,0,0,0,4,1
46,1313165,656,52480,60,0,0,0,1,1
54,1090428,408,59038,60,1,0,0,1,1
27,431086,766,375588,360,1,0,0,0,1
24,1297935,679,896269,240,1,1,1,1,1
31,1088106,524,135050,240,1,0,1,2,1
49,731083,561,976925,360,1,1,0,0,0
56,881539,435,230170,24,1,0,1,3,1
45,1011069,403,924826,24,1,0,1,3,1
41,9844419,235,5573430,120,0,0,0,4,1
56,448936,486,1121628,60,0,1,1,4,0
30,1637041,799,947875,60,1,0,1,3,1
57,1503730,663,295100,240,1,1,1,2,1
29,1335238,490,698370,36,1,0,0,1,1
44,1388707,694,136770,24,1,1,1,4,1
55,502565,457,337268,180,0,0,1,0,0
55,435282,539,594617,12,1,0,1,3,1
56,1593728,571,742057,60,1,1,1,1,1
38,1075519,659,895049,36,0,1,0,4,0
59,1282090,424,505799,12,0,0,0,2,0
52,1170037,597,248535,120,1,0,0,1,1
44,859139,466,1060749,180,0,1,1,2,0
43,4178044,237,2652928,360,0,0,0,0,1
52,1170038,517,725725,360,1,1,0,2,1
57,435230,679,723489,36,1,1,1,3,1
32,421497,405,430820,360,1,0,1,3,1
33,1668572,496,521427,12,0,0,0,4,1
43,1660059,471,991994,60,1,1,1,1,1
45,1187518,816,1154010,360,1,1,1,4,1
55,1107004,831,199522,36,1,1,1,0,1
50,1524117,779,64656,24,1,0,0,4,1
37,491933,657,57272,12,1,1,0,2,0
40,1142235,437,739114,240,1,0,1,1,1
45,1676353,695,1118532,240,1,1,1,3,1
42,1030379,455,632448,60,0,0,0,3,0
33,367323,502,491664,36,1,0,0,4,0
39,1763580,502,609225,180,1,0,1,1,1
56,1316491,615,198212,12,1,1,0,3,1
32,1033210,420,294111,120,0,0,0,3,0
39,1583829,514,708464,240,1,0,1,0,1
32,1567766,609,286702,120,1,0,0,3,1
29,1605651,690,476389,24,1,1,1,2,1
27,549596,602,969915,36,0,0,1,4,1
48,575212,722,672271,36,1,1,0,1,1
34,479598,587,242503,24,1,0,0,2,1
51,415729,550,572181,36,1,1,1,0,1
39,376593,848,533490,120,0,0,0,0,1
36,1403617,590,421695,120,1,1,1,0,1
25,1583690,806,519261,24,1,1,1,2,1
55,625516,613,1142487,360,1,1,0,1,0
32,1178531,778,893118,360,1,1,0,1,1
45,1321173,441,1136226,60,1,1,0,2,0
41,1486737,847,142524,24,1,1,1,0,1
56,1103055,593,659713,360,0,1,0,1,0
43,1136073,649,1085324,120,1,0,1,2,1
36,1622763,480,1034386,240,1,0,1,3,1
59,1415148,440,867359,360,1,0,1,1,1
59,1281640,769,861052,24,1,1,1,4,1
34,1435276,419,226841,120,1,0,1,0,1
51,3951928,258,4930826,360,0,1,1,3,1
25,1466533,712,1076416,60,0,1,0,0,1
55,1092554,523,79029,120,1,0,1,3,1
43,1133778,602,429374,180,1,0,1,1,1
49,8391008,247,3422863,36,1,0,1,3,1
31,1200425,477,250374,12,1,0,1,4,1
38,709366,609,804111,240,0,1,0,1,0
32,1436206,417,998836,60,1,0,1,0,1
29,377228,635,609471,12,1,1,0,1,0
30,574198,718,95609,60,1,1,1,0,1
37,826055,599,350060,60,1,1,0,3,0
58,304708,748,315179,360,0,1,0,4,0
27,876446,681,511076,60,1,0,1,2,1
33,1246796,651,400816,360,1,1,1,3,1
29,328082,739,540174,180,1,1,0,1,0
47,334024,638,735434,60,1,0,0,3,1
22,1325951,668,530062,120,1,1,0,1,1
25,585605,518,1026078,36,1,1,1,3,1
49,1353927,800,1104401,120,1,0,0,3,1
57,1169060,770,746608,120,1,1,1,4,1
58,404720,681,925470,180,1,0,1,1,1
39,1781510,789,1055036,360,1,0,1,4,1
28,820751,736,636976,240,1,0,0,3,1
21,426875,787,588651,36,1,1,0,3,1
42,1046572,744,1015364,360,1,0,1,1,1
37,968137,406,482688,240,1,1,0,4,0
27,439380,672,803867,180,0,1,0,2,0
45,937970,652,154826,60,1,1,1,4,1
24,380865,741,409301,36,1,0,1,3,1
56,313882,527,272227,12,1,1,0,0,0
26,414883,773,167811,36,0,1,0,4,0
51,1571234,491,210096,120,1,1,1,2,1
39,474504,705,716113,60,1,0,0,0,1
59,1560937,783,1041777,120,1,1,0,4,1
47,1706235,405,81325,12,1,0,1,0,1
30,1297670,813,206407,180,1,0,1,3,1
46,950222,473,714896,180,1,1,0,3,0
39,1759450,455,476503,60,0,1,0,2,0
59,1024605,694,320144,24,1,1,0,1,1
23,667209,797,733551,360,0,0,1,0,1
33,811415,709,278914,180,1,1,1,2,1
48,1057939,637,1193736,120,1,1,0,4,1
40,1607245,421,1111543,360,1,1,0,3,1
48,1388106,840,487790,120,0,1,0,4,1
28,439906,440,456462,36,1,0,1,1,1
59,1756150,745,253075,360,1,0,0,0,1
21,1669414,665,547591,360,1,1,1,2,1
23,387193,657,261207,60,1,0,0,1,1
33,481393,447,148032,180,1,0,1,0,1
48,1045723,697,166815,240,0,0,0,3,1
45,4884861,231,6442611,180,1,0,0,1,1
53,578829,601,481001,180,0,1,1,4,0
58,416254,539,510299,240,1,1,1,2,1
26,966716,541,615699,360,1,1,0,2,0
52,1651304,685,1037395,180,1,1,1,2,1
41,1531010,632,65710,240,1,0,0,1,1
36,835632,715,699873,120,1,0,1,1,1
41,344619,557,443927,360,0,0,1,3,0
31,798750,437,432651,12,0,0,0,1,0
57,774547,474,437002,60,1,1,0,4,0
56,526351,720,998808,60,1,0,1,4,1
55,1481591,574,319583,240,1,0,0,4,1
39,1569833,438,930341,36,1,1,1,3,1
40,1015577,832,273883,120,1,0,0,0,1
38,412319,472,841020,120,1,0,0,2,0
34,1762813,457,503106,24,0,0,0,0,1
35,1094780,762,1121250,24,0,1,1,4,1
51,1556934,488,153761,60,1,0,0,1,1
21,971999,672,411556,120,1,1,0,2,1
23,1433606,533,1018496,180,0,0,1,3,1
36,757782,542,650954,240,1,1,0,1,0
43,997371,494,593526,36,0,0,1,0,1
31,1069937,555,114333,120,1,1,1,0,1
32,1582984,600,239306,36,0,1,0,4,1
30,1715285,827,1140870,24,1,0,0,3,1
52,1334609,801,739847,180,1,1,1,4,1
36,1105072,559,1166972,12,0,0,0,3,1
28,1383978,610,902034,180,1,1,1,3,1
58,1413664,571,74285,120,1,1,0,2,1
32,695107,469,201301,180,1,0,0,3,1
44,459331,718,599701,180,0,0,0,0,0
48,756237,713,198382,24,1,1,1,0,1
28,1508635,830,119141,12,1,0,0,0,1
48,1532264,781,427172,12,1,1,1,0,1
56,1490331,544,1175689,24,1,1,0,1,1
46,754299,566,598805,24,0,0,1,2,1
28,901952,842,819948,24,0,0,1,4,1
48,1257698,790,259847,36,0,1,0,4,1
48,924562,718,208037,360,0,0,0,1,1
57,524903,516,722571,60,1,1,0,4,0
56,1149093,584,1030146,240,0,1,1,1,1
47,912026,602,251699,60,1,1,0,4,1
37,1551955,561,370085,60,1,0,0,4,1
29,1129884,708,624753,360,0,1,0,2,0
53,724517,849,527226,180,1,1,1,3,1
40,1142332,737,273031,36,1,1,1,3,1
33,1435499,831,346700,24,0,1,1,1,1
48,703048,587,788522,60,0,0,1,0,1
49,488944,442,615360,36,1,1,1,2,0
33,1296463,600,1135110,36,1,0,1,0,1
55,841090,630,454950,24,1,1,0,2,1
26,578477,403,641187,12,1,0,1,0,1
38,1645840,639,1109687,36,1,1,0,1,1
25,977519,605,930539,120,1,0,0,1,1
45,717876,730,184504,360,1,0,0,2,1
22,881131,493,721434,36,1,0,0,4,1
